School,Ranking,YearsSincePhD,Salary,COA_Difference,COA_Adjusted,9Month,AAUP,AAUP_DiffSmith,AAUP_AdjSalary
UNC,4,0,79000,1.41,111390,No,91200,0.918859649,72589.91228
UNC,4,0,85758,1.41,120918.78,No,91200,0.918859649,78799.56579
UNC,4,1,80738,1.41,113840.58,No,91200,0.918859649,74186.89035
UNC,4,2,79000,1.41,111390,No,91200,0.918859649,72589.91228
UNC,4,4,83316,1.41,117475.56,No,91200,0.918859649,76555.71053
UNC,4,4,85758,1.41,120918.78,No,91200,0.918859649,78799.56579
UNC,4,5,85758,1.41,120918.78,No,91200,0.918859649,78799.56579
UNC,4,12,85758,1.41,120918.78,No,91200,0.918859649,78799.56579
Wisonsin,11,4,96555.58,1.18,113935.5844,,87200,0.961009174,92790.79821
Ohio State,15,1,72000,1.38,99360,,87300,0.959908362,69113.40206
Ohio State,15,2,72000,1.38,99360,,87300,0.959908362,69113.40206
Ohio State,15,3,72000,1.38,99360,,87300,0.959908362,69113.40206
Ohio State,15,4,79235.66,1.38,109345.2108,,87300,0.959908362,76058.9726
Ohio State,15,5,77052.6,1.38,106332.588,,87300,0.959908362,73963.43505
Ohio State,15,8,74312,1.38,102550.56,,87300,0.959908362,71332.71019
UCLA,15,7,67901,0.88,59752.88,,77100,1.08690013,73801.60571
Illinois,17,1,75000,1.37,102750,No,92900,0.90204521,67653.39074
Illinois,17,2,75915,1.37,104003.55,No,92900,0.90204521,68478.76211
Illinois,17,5,75915,1.37,104003.55,No,92900,0.90204521,68478.76211
Illinois,17,5,77863.6,1.37,106673.132,No,92900,0.90204521,70236.48741
Maryland,17,0,83000,1.06,87980,No,90900,0.921892189,76517.05171
Maryland,17,3,81000,1.06,85860,No,90900,0.921892189,74673.26733
Maryland,17,4,86000,1.06,91160,No,90900,0.921892189,79282.72827
Maryland,17,5,86000,1.06,91160,No,90900,0.921892189,79282.72827
Maryland,17,7,85000,1.06,90100,No,90900,0.921892189,78360.83608
Maryland,17,7,86000,1.06,91160,No,90900,0.921892189,79282.72827
Maryland,17,8,90000,1.06,95400,No,90900,0.921892189,82970.29703
Maryland,17,8,88000,1.06,93280,No,90900,0.921892189,81126.51265
Rutgers,17,1,84000,1.08,90720,Yes,86300,0.971031286,81566.62804
Rutgers,17,2,87629,1.08,94639.32,Yes,86300,0.971031286,85090.50058
Rutgers,17,2,87629,1.08,94639.32,Yes,86300,0.971031286,85090.50058
Rutgers,17,2,87629,1.08,94639.32,Yes,86300,0.971031286,85090.50058
Rutgers,17,2,87286,1.08,94268.88,Yes,86300,0.971031286,84757.43685
Rutgers,17,3,86828,1.08,93774.24,Yes,86300,0.971031286,84312.70452
Rutgers,17,4,91000,1.08,98280,Yes,86300,0.971031286,88363.84705
Hunter College,24,1,111839,0.55,61511.45,,77100,1.08690013,121557.8236
Hunter College,24,1,113390,0.55,62364.5,,77100,1.08690013,123243.6057
Hunter College,24,1,110474,0.55,60760.7,,77100,1.08690013,120074.2049
Hunter College,24,1,121855,0.55,67020.25,,77100,1.08690013,132444.2153
UGA,24,2,76800,1.27,97536,,86400,0.969907407,74488.88889
UGA,24,4,79946,1.27,101531.42,,86400,0.969907407,77540.21759
UGA,24,4,80048,1.27,101660.96,,86400,0.969907407,77639.14815
UGA,24,4,103762,1.27,131777.74,,86400,0.969907407,100639.5324
UGA,24,4,103271,1.27,131154.17,,86400,0.969907407,100163.3079
UGA,24,7,96278,1.27,122273.06,,86400,0.969907407,93380.74537
UIC,24,1,75000,1.04,78000,,91900,0.911860718,68389.55386
UIC,24,1,77000,1.04,80080,,91900,0.911860718,70213.2753
UIC,24,1,75000,1.04,78000,,91900,0.911860718,68389.55386
UIC,24,1,75000,1.04,78000,,91900,0.911860718,68389.55386
UIC,24,2,79000,1.04,82160,,91900,0.911860718,72036.99674
UIC,24,3,77888,1.04,81003.52,,91900,0.911860718,71023.00762
UIC,24,6,77888,1.04,81003.52,,91900,0.911860718,71023.00762
UIC,24,9,81034,1.04,84275.36,,91900,0.911860718,73891.72144
University of Buffalo,24,3,"65,449.82",1.36,89011.7552,Yes,82300,1.018226002,66642.70858
University of Buffalo,24,3,69390,1.36,94370.4,Yes,82300,1.018226002,70654.70231
University of Buffalo,24,4,"68,712.39",1.36,93448.8504,Yes,82300,1.018226002,69964.74219
University of Buffalo,24,4,64989.57,1.36,88385.8152,Yes,82300,1.018226002,66174.07006
University of Buffalo,24,5,73385.43,1.36,99804.1848,Yes,82300,1.018226002,74722.95303
University of Buffalo,24,5,65459,1.36,89024.24,Yes,82300,1.018226002,66652.05589
University of Buffalo,24,6,67627.32,1.36,91973.1552,Yes,82300,1.018226002,68859.8957